,time,ema(4),high low span,high above ema,close above ema,close relative to high,volume change,volume relative to span,to buy,Prediction
4917,0.63,1.000875765,0.002933985,0.0005912280000000001,-0.000875765,0.001466993,0.548693736,0.005347219,0.000488998,0.0018883027015277778
4918,0.64,1.000819258,0.001956947,0.000159216,-0.000819258,0.000978474,0.22354729899999998,0.008754063000000001,0.001956947,0.0016893220328571428
4919,0.65,1.0001979159999999,0.00391198,0.001269077,-0.000197916,0.001466993,-0.333691036,-0.011723361000000002,0.002444988,0.002313342277976191
4920,0.66,0.999239669,0.0029296870000000003,0.001736893,0.000760331,0.0009765619999999999,0.272370797,0.010756247,0.001953125,0.0015845629602777775
4921,0.44,0.9968538240000001,0.004840271,0.00411423,0.0031461759999999997,0.000968054,-0.294367636,-0.016442946,0.000968054,0.0026293026039743593
4922,0.45,0.998947226,0.0033929190000000003,0.0034181240000000002,0.001052774,0.00236535,-1.067542391,-0.003178253,0.000426538,0.0018299598595848596
4923,0.46,0.999589208,0.0038790509999999997,0.0012059969999999999,0.000410792,0.000795205,0.293765683,0.013204576,0.0017649679999999998,0.0013019288440874813
4924,0.47,1.000195881,0.002911434,0.0023079520000000003,-0.000195881,0.002503833,0.012608382,0.23091258899999997,0.001533355,0.0008175115935714286
4925,0.48,0.9991987440000001,0.0038759690000000004,0.0008012560000000001,0.0008012560000000001,0.0,0.37134959700000003,0.01043752,0.000968992,0.0015644970000000002
4926,0.49,1.0005376,0.0033972340000000003,0.002131655,-0.0005376000000000001,0.002669255,0.330591851,0.010276216999999999,0.00558117,0.0009029969975339603
4927,0.5,0.998145375,0.005802708,0.0037888609999999997,0.001854625,0.001934236,-0.22330511600000003,-0.025985557000000003,0.002901354,0.0020999539381410257
4928,0.51,0.998019691,0.0038628679999999998,0.003428884,0.001980309,0.001448576,-1.135200763,-0.003402806,0.004345727,0.0018004919665079364
4929,0.52,0.997657479,0.004819277,0.00475216,0.002342521,0.002409639,0.501195235,0.009615568,0.004337349,0.0034740087583333334
4930,0.53,0.9962955170000001,0.0048007679999999995,0.00418456,0.0037044829999999997,0.000480077,0.024716888,0.19423028399999998,0.0033605379999999997,0.0019616549027272724
4931,0.54,0.996637312,0.005749935,0.004809755,0.003362688,0.001447067,0.274302486,0.020962024,0.000488745,0.0005204911710822511
4932,0.55,0.998016773,0.003469327,0.002529503,0.001983227,0.000546275,-0.283408003,-0.012241458,0.001504653,0.002154508988333334
4933,0.56,0.997910416,0.002392344,0.002089584,0.002089584,0.0,-0.276232871,-0.008660608,0.0,0.0006981370917318295
4934,0.57,0.999032868,0.002872188,0.00144583,0.000967132,0.000478698,0.186984145,0.015360595,0.00239349,0.002300277756547619
4935,0.58,0.9999941529999999,0.004791567,0.003359944,5.85e-06,0.0033540970000000003,0.30051636,0.015944446,0.00143747,0.0014886050806410256
4936,0.59,0.999691905,0.003831308,0.001237188,0.000308095,0.000929092,-0.8446679290000001,-0.0045358740000000005,0.002365832,0.001622110812662338
4937,0.6,0.998685472,0.00334608,0.00179254,0.001314528,0.000478011,0.21663491,0.015445711,0.0009560230000000001,0.0008676837993438914
4938,0.61,0.99863897,0.00286533,0.00136103,0.00136103,0.0,-0.321502142,-0.008912319,0.00191022,0.001571042920119048
4939,0.63,0.9986116420000001,0.002862595,0.002342556,0.001388358,0.0009541980000000001,0.102450069,0.027941371,0.001908397,0.0015011131402777778
4940,0.64,0.999166985,0.002862595,0.002741412,0.000833015,0.001908397,-0.144798981,-0.019769444,0.0009541980000000001,0.0014477602358333335
4941,0.65,0.999214307,0.001907487,0.001262565,0.0007856930000000001,0.000476872,-0.184005958,-0.010366441,0.000476872,0.0009838590474775225
4942,0.66,1.0003875070000001,0.00191022,0.001522712,-0.000387507,0.00191022,0.38692399899999996,0.004936938,0.00286533,0.001022273264913322
4943,0.44,0.995443645,0.008153477,0.010791367,0.004556355,0.006235012,-0.09268029,-0.087974231,0.0014388489999999999,0.0024326588483333336
4944,0.45,0.9987019229999999,0.004807692,0.005144231,0.001298077,0.003846154,-0.90548212,-0.005309539,0.003846154,0.0025540672044444446
4945,0.46,0.998071017,0.00671785,0.0038483690000000004,0.0019289829999999998,0.0019193860000000001,0.40980459700000005,0.016392813,0.0023992320000000003,0.0024488710500000003
4946,0.47,0.999705911,0.004324844,0.004138395,0.00029408900000000004,0.0038443059999999996,-0.6980815020000001,-0.006195328000000001,0.004324844,0.003980406637142858
4947,0.48,0.997812644,0.004789272,0.0031452109999999998,0.002187356,0.000957854,0.058701444000000005,0.081586954,0.000957854,0.0015392328368131869
4948,0.49,1.000701432,0.004805382,0.003623412,-0.000701432,0.004324844,-0.024422935,-0.19675694300000002,0.001441615,0.0016836088666666665
4949,0.5,1.000420859,0.002883229,0.001020755,-0.000420859,0.001441615,0.233655749,0.012339646000000001,0.001441615,0.0013819826422619046
4950,0.51,0.9996761809999999,0.0019203070000000002,0.000803896,0.00032381900000000004,0.000480077,-0.62374675,-0.003078665,0.00144023,0.0008777695821428572
4951,0.52,1.000099564,0.002881872,0.00183129,-9.96e-05,0.0019308539999999999,-0.21451851100000002,-0.013434142,0.002891478,0.003063338951190476
4952,0.53,0.9991905870000001,0.00383693,0.002248262,0.000809413,0.0014388489999999999,0.008308638,0.46180016700000004,0.0014388489999999999,0.0009432025040584414
4953,0.54,1.000539734,0.003843493,0.00261193,-0.000539734,0.003151664,-0.435007159,-0.008835471,0.002190791,0.002854423565595238
4954,0.55,1.00016237,0.002881844,0.001758859,-0.00016237,0.00192123,0.275796443,0.010449172,0.00192123,0.0018160876111507937
